LÍNEA;CANAL;ID PETICIÓN;ID GESTIC;TÍTULO PETICIÓN;TIPO PETICIÓN;FECHA INICIO;FECHA CIERRE;Horas JP Est.;Horas CO Est.;Horas AN Est.;Horas PR Est.;Total Horas Estimadas;Importe estimado;Horas JP Eje.;Horas CO Eje.;Horas AN Eje.;Horas PR Eje.;Total Horas Ejecutadas;Importe inicial Incurridos;Importe Defectos;Otras Reducciones Aceptadas SWF;Importe Propuesto para Facturar;DIRECCIÓN DE PROYECTO;OBSERVACIONES
GESTION;SISTEMAS DE INFORMACIÓN;135518;;Coordinación operativa del canal Web Simia;Tarea de Gestión;17/12/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;130146;;Coordinación Operativa de Sum@;Tarea de Gestión;24/04/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;130145;;Coordinación Operativa de Proyectos Drupal (no FSE, Sirmi, Web Simia);Tarea de Gestión;24/04/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,25;7,88;0,00;0;xxx;;Seguimiento y coordinación
GESTION;Netgefys Intercambio;130144;;Coordinación Operativa del canal;Tarea de Gestión;24/04/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;129056;;Coordinación operativa del canal FONDO SOCIAL EUROPEO (FSE);Tarea de Gestión;12/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,25;7,88;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;129055;;Coordinación operativa del canal PGSS ProgreSSa;Tarea de Gestión;12/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;129054;;Coordinación operativa del canal CHSS CoheSSiona;Tarea de Gestión;12/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;OBI - SISS;129053;;Coordinación operativa del canal;Tarea de Gestión;12/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,00;3,00;88,00;2737,50;0,00;0;xxx;Paco Belmonte / José Antonio Lucena;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;128978;;Traspasos unificados;Traspaso EO;11/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,50;30,50;610,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SJG;128957;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50;15,75;0,00;0;xxx;Juan Carlos Castro Salado / Paco Belmonte;Seguimiento y coordinación
GESTION;SISS-GIRO;128956;;Coordinación operativa del canal;Tarea de Gestión Incidencias;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Antonio Brenes Martín;Seguimiento y coordinación
GESTION;SUBVENCIONES;128955;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,50;0,00;25,50;803,25;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;SIRMI;128954;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,75;0,00;2,75;86,62;0,00;0;xxx;María Teresa Caña Pérez;Seguimiento y coordinación
GESTION;RMISA;128953;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;María Teresa Caña Pérez;Seguimiento y coordinación
GESTION;NÓMINA-ASE-PNC;128952;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;María Teresa Caña Pérez;Seguimiento y coordinación
GESTION;NÓMINA-ASE-FAS-SGIM;128951;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Maite Caña;Seguimiento y coordinación
GESTION;NÓMINA;128950;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;María Teresa Caña Pérez;Seguimiento y coordinación
GESTION;ALQUILERES;128949;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;María Teresa Caña Pérez;Seguimiento y coordinación
GESTION;FAS-NOMINA;128948;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;María Teresa Caña Pérez;Seguimiento y coordinación
GESTION;PENSIONES NO CONTRIBUTIVAS (PNC);128947;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;María Teresa Caña Pérez / Marina Martínez Bravo;Seguimiento y coordinación
GESTION;MENORES-SISS;128945;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;157,50;0,00;0;xxx;Juan Carlos Castro Salado;Seguimiento y coordinación
GESTION;ADOPCIÓN INTERNACIONAL;128944;;Coordinación operativa del canal;Tarea de Gestión Incidencias;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Juan Carlos Castro Salado;Seguimiento y coordinación
GESTION;PAREJAS DE HECHO;128943;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;MEDIACIÓN FAMILIAR;128942;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;FAMILIA NUMEROSA;128941;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,50;0,00;21,50;677,25;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;TERCER HIJO Y PARTO MÚLTIPLE;128940;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;SCSP PROVEEDOR;128939;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Juan Carlos Viñas Casasola;Seguimiento y coordinación
GESTION;SCSP CONSUMIDOR;128938;;Coordinación operativa del canal;Tarea de Gestión Incidencias;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Juan Carlos Viñas Casasola;Seguimiento y coordinación
GESTION;SISS-vea;128937;;Coordinación operativa del canal;Tarea de Gestión Incidencias;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Antonio Brenes Martín;Seguimiento y coordinación
GESTION;HORIZONTAL JAVA;128936;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;David Silva / Maria Jose Oliva;Seguimiento y coordinación
GESTION;HORIZONTAL;128935;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;María Teresa Caña Pérez;Seguimiento y coordinación
GESTION;EQUIPO DE VALORACIÓN Y ORIENTACIÓN (EVO);128933;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;115,50;0,00;115,50;3638,25;0,00;0;xxx;Ricardo Toro Llanos;Seguimiento y coordinación
GESTION;REGISTRO DE CENTROS;128931;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;FICHA CORPORATIVA CENTROS;128930;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;AUTORIZACIONES DE CENTROS;128929;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52,50;0,00;52,50;1653,75;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;ACTUACIÓN INSPECTORA;128928;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;ACREDITACIONES DE CENTROS;128927;;Coordinación operativa del canal;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;Marina Martínez Bravo;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;128926;;Coordinación del canal de Operación;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;136,00;156,00;292,00;7404,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;128902;;Seguimiento y control SWF;Tarea de Gestión;08/03/2024;;0,00;0,00;0,00;0,00;0,00;0,00;136,00;206,50;0,00;140,00;482,50;15815,00;0,00;0;xxx;;Traspasos unificados
GESTION;SISTEMAS DE INFORMACIÓN;125217;;[SISS] Implantación entrega NOQM_PNC-471;Traspaso EO;02/10/2023;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;;Seguimiento y coordinación
GESTION;SISTEMAS DE INFORMACIÓN;123098;;[SISS] Implantación entrega Javersion NOQM_EVO-134-2;Traspaso EO;17/04/2023;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;xxx;;Seguimiento y coordinación
